id,sex,work_xp,ssc_pct,ssc_board,hsc_pct,hsc_board,hsc_spc,degree_pct,degree_type,etest_pct,specialisation,mba_pct,status,salary
1,M,Yes,85,Central,60,Others,Science,73.43,Sci&Tech,60,Mkt&Fin,61.29,Placed,260000
2,F,Yes,83.84,Others,89.83,Others,Commerce,77.2,Comm&Mgmt,78.74,Mkt&Fin,76.18,Placed,400000
3,M,No,62,Others,63,Others,Commerce,64,Comm&Mgmt,67,Mkt&Fin,57.03,Placed,220000
4,M,Yes,51.57,Others,74.66,Others,Commerce,59.9,Comm&Mgmt,56.15,Mkt&HR,65.99,Not Placed,
5,M,Yes,52,Central,63,Others,Science,65,Sci&Tech,86,Mkt&HR,56.09,Not Placed,
6,F,No,50,Others,37,Others,Arts,52,Others,65,Mkt&HR,56.11,Not Placed,
7,F,No,84,Central,73,Central,Commerce,73,Comm&Mgmt,75,Mkt&Fin,73.33,Placed,350000
8,M,No,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,67,Mkt&HR,62.65,Not Placed,
9,M,No,70,Central,74,Central,Commerce,65,Comm&Mgmt,83,Mkt&Fin,62.28,Placed,300000
10,M,No,73,Central,79,Central,Commerce,72,Comm&Mgmt,91.34,Mkt&Fin,61.29,Placed,231000
11,M,No,74,Central,62,Others,Science,68,Comm&Mgmt,74,Mkt&Fin,57.99,Placed,268000
12,M,Yes,73,Central,64,Others,Commerce,77,Comm&Mgmt,65,Mkt&HR,60.98,Placed,250000
13,F,No,77,Central,87,Central,Commerce,59,Comm&Mgmt,68,Mkt&Fin,68.63,Placed,218000
14,M,No,63,Others,71.4,Others,Commerce,61.4,Comm&Mgmt,68,Mkt&Fin,66.88,Placed,240000
15,M,Yes,63,Central,66.2,Central,Commerce,65.6,Comm&Mgmt,60,Mkt&Fin,62.54,Placed,300000
16,F,No,40.89,Others,45.83,Others,Commerce,53,Comm&Mgmt,71.2,Mkt&HR,65.49,Not Placed,
17,F,Yes,87,Others,65,Others,Science,81,Comm&Mgmt,88,Mkt&Fin,72.78,Placed,260000
18,M,Yes,60.8,Central,68.4,Central,Commerce,64.6,Comm&Mgmt,82.66,Mkt&Fin,64.34,Placed,940000
19,M,No,73,Others,58,Others,Commerce,56,Comm&Mgmt,84,Mkt&HR,52.64,Placed,300000
20,F,Yes,84,Others,75,Others,Science,69,Sci&Tech,62,Mkt&HR,62.36,Placed,210000
21,M,No,69,Others,65,Others,Commerce,57,Comm&Mgmt,73,Mkt&HR,55.8,Placed,265000
22,M,Yes,78.5,Central,65.5,Central,Science,67,Sci&Tech,95,Mkt&Fin,64.86,Placed,280000
23,M,Yes,53,Central,63,Others,Science,60,Comm&Mgmt,70,Mkt&Fin,53.2,Placed,250000
24,M,No,85.8,Central,73.6,Central,Commerce,73.3,Comm&Mgmt,96.8,Mkt&Fin,55.5,Placed,425000
25,F,No,43,Central,60,Others,Science,65,Comm&Mgmt,92.66,Mkt&HR,62.92,Not Placed,
26,F,No,66.5,Others,70.4,Central,Arts,71.93,Comm&Mgmt,61,Mkt&Fin,64.27,Placed,230000
27,M,No,61.8,Others,47,Others,Commerce,54.38,Comm&Mgmt,57,Mkt&Fin,56.13,Not Placed,
28,M,No,70,Central,63,Central,Science,66,Sci&Tech,61.28,Mkt&HR,60.11,Placed,240000
29,F,No,70.5,Central,62.5,Others,Commerce,61,Comm&Mgmt,93.91,Mkt&Fin,69.03,Not Placed,
30,M,No,63,Others,67,Others,Commerce,66,Comm&Mgmt,68,Mkt&HR,57.69,Placed,265000
31,M,No,80,Others,73,Others,Commerce,75,Comm&Mgmt,61,Mkt&Fin,58.78,Placed,240000
32,M,No,77,Others,75,Others,Science,73,Sci&Tech,80,Mkt&Fin,67.05,Placed,240000
33,M,No,62,Others,51,Others,Science,52,Others,68.44,Mkt&HR,62.77,Not Placed,
34,F,No,75.2,Central,73.2,Central,Science,68.4,Comm&Mgmt,65,Mkt&HR,62.98,Placed,200000
35,M,Yes,83.33,Central,78,Others,Commerce,61,Comm&Mgmt,88.56,Mkt&Fin,71.55,Placed,300000
36,M,Yes,58,Central,61,Central,Commerce,60,Comm&Mgmt,62,Mkt&HR,60.85,Placed,260000
37,M,Yes,73,Central,73,Central,Science,66,Sci&Tech,70,Mkt&Fin,68.07,Placed,275000
38,M,No,87,Others,87,Others,Commerce,68,Comm&Mgmt,95,Mkt&HR,62.9,Placed,300000
39,M,No,62,Central,47,Central,Commerce,50,Comm&Mgmt,76,Mkt&HR,54.96,Not Placed,
40,F,No,77.8,Central,64,Central,Science,64.2,Sci&Tech,75.5,Mkt&HR,72.14,Not Placed,
41,F,No,61,Central,81,Central,Commerce,66.4,Comm&Mgmt,50.89,Mkt&HR,62.21,Placed,278000
42,M,No,80,Others,70,Others,Science,72,Sci&Tech,87,Mkt&HR,71.04,Placed,450000
43,M,Yes,60,Others,67,Others,Arts,70,Comm&Mgmt,50.48,Mkt&Fin,77.89,Placed,236000
44,F,No,63.4,Others,67.2,Others,Commerce,60,Comm&Mgmt,58.06,Mkt&HR,69.28,Not Placed,
45,M,No,63,Central,67,Central,Commerce,74,Comm&Mgmt,82,Mkt&Fin,60.44,Not Placed,
46,M,Yes,52,Others,65,Others,Arts,57,Others,75,Mkt&Fin,59.81,Not Placed,
47,F,No,70.89,Others,71.98,Others,Science,65.6,Comm&Mgmt,68,Mkt&HR,71.63,Not Placed,
48,F,No,76,Central,64,Central,Science,72,Sci&Tech,58,Mkt&HR,66.53,Not Placed,
49,F,No,55,Central,67,Central,Commerce,64,Comm&Mgmt,60,Mkt&Fin,67.28,Not Placed,
50,F,No,72,Central,56,Others,Science,69,Comm&Mgmt,55.6,Mkt&HR,65.63,Placed,200000
51,M,No,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,97.4,Mkt&Fin,74.01,Placed,360000
52,M,Yes,63,Central,60,Central,Commerce,57,Comm&Mgmt,78,Mkt&Fin,54.55,Placed,204000
53,M,Yes,80.4,Central,73.4,Central,Science,77.72,Sci&Tech,81.2,Mkt&HR,76.26,Placed,400000
54,F,Yes,77.44,Central,92,Others,Commerce,72,Comm&Mgmt,94,Mkt&Fin,67.13,Placed,250000
55,F,No,73.96,Others,79,Others,Commerce,67,Comm&Mgmt,72.15,Mkt&Fin,63.08,Placed,280000
56,M,No,60.4,Central,66.6,Others,Science,65,Comm&Mgmt,71,Mkt&HR,52.71,Placed,220000
57,M,No,58,Central,62,Central,Commerce,64,Comm&Mgmt,53.88,Mkt&Fin,54.97,Placed,260000
58,M,Yes,67,Others,67,Others,Commerce,73,Comm&Mgmt,59,Mkt&Fin,69.72,Placed,295000
59,M,No,61,Central,82,Central,Commerce,69,Comm&Mgmt,84,Mkt&Fin,58.31,Placed,300000
60,F,Yes,60,Central,63,Central,Arts,56,Others,80,Mkt&HR,56.63,Placed,300000
61,F,No,54,Central,77.6,Others,Commerce,69.2,Comm&Mgmt,95.65,Mkt&Fin,66.94,Not Placed,
62,F,Yes,52.58,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,76,Mkt&Fin,65.33,Not Placed,
63,F,No,69.7,Central,47,Central,Commerce,72.7,Sci&Tech,79,Mkt&HR,59.24,Not Placed,
64,F,No,63,Central,66,Central,Commerce,64,Comm&Mgmt,68,Mkt&HR,64.08,Not Placed,
65,F,Yes,66.5,Central,66.8,Central,Arts,69.3,Comm&Mgmt,80.4,Mkt&Fin,71,Placed,236000
66,F,No,72,Others,60,Others,Science,69,Comm&Mgmt,55.5,Mkt&HR,58.4,Placed,250000
67,M,Yes,76.76,Others,76.5,Others,Commerce,67.5,Comm&Mgmt,73.35,Mkt&Fin,64.15,Placed,350000
68,F,No,66,Central,62,Central,Commerce,73,Comm&Mgmt,58,Mkt&HR,64.36,Placed,210000
69,F,Yes,48,Central,51,Central,Commerce,58,Comm&Mgmt,60,Mkt&HR,58.79,Not Placed,
70,F,No,73,Others,58,Others,Science,66,Comm&Mgmt,53.7,Mkt&HR,56.86,Placed,240000
71,F,No,78,Central,77,Others,Commerce,80,Comm&Mgmt,60,Mkt&Fin,66.72,Placed,287000
72,M,Yes,67.9,Others,62,Others,Science,67,Sci&Tech,58.1,Mkt&Fin,75.71,Not Placed,
73,M,No,55.6,Others,51,Others,Commerce,57.5,Comm&Mgmt,57.63,Mkt&HR,62.72,Not Placed,
74,M,Yes,77,Central,70,Central,Commerce,59,Comm&Mgmt,58,Mkt&Fin,54.43,Placed,220000
75,M,Yes,76,Central,80,Central,Science,78,Sci&Tech,97,Mkt&HR,70.48,Placed,276000
76,F,No,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,55.53,Mkt&HR,68.81,Placed,360000
77,F,Yes,74.9,Others,57,Others,Science,62,Others,80,Mkt&Fin,60.78,Placed,360000
78,M,No,59,Central,64,Others,Science,58,Sci&Tech,85,Mkt&HR,55.3,Not Placed,
79,M,Yes,62,Others,62,Others,Commerce,60,Comm&Mgmt,63,Mkt&HR,52.38,Placed,240000
80,M,Yes,73,Central,78,Central,Science,73,Sci&Tech,85,Mkt&HR,65.83,Placed,240000
81,M,No,67,Others,63,Others,Science,64,Sci&Tech,60,Mkt&Fin,61.87,Not Placed,
82,M,No,81,Others,68,Others,Science,64,Sci&Tech,93,Mkt&Fin,62.56,Placed,411000
83,M,No,56.6,Central,64.8,Central,Commerce,70.2,Comm&Mgmt,84.27,Mkt&Fin,67.2,Placed,336000
84,M,No,62,Central,65,Others,Commerce,60,Comm&Mgmt,84,Mkt&Fin,64.15,Not Placed,
85,F,No,83.96,Others,53,Others,Science,91,Sci&Tech,59.32,Mkt&HR,69.71,Placed,260000
86,M,No,61,Others,62,Others,Commerce,65,Comm&Mgmt,62,Mkt&Fin,56.81,Placed,250000
87,F,No,77,Central,86,Central,Arts,56,Others,57,Mkt&Fin,64.08,Placed,240000
88,M,No,62,Central,72,Central,Commerce,65,Comm&Mgmt,67,Mkt&Fin,56.49,Placed,216000
89,F,Yes,77,Others,61,Others,Commerce,68,Comm&Mgmt,57.5,Mkt&Fin,61.31,Placed,300000
90,M,Yes,82,Central,64,Central,Science,66,Sci&Tech,67,Mkt&Fin,62.14,Placed,252000
91,M,No,51,Others,54,Others,Science,61,Sci&Tech,60,Mkt&HR,60.64,Not Placed,
92,F,Yes,74,Others,73,Others,Commerce,73,Comm&Mgmt,80,Mkt&Fin,67.69,Placed,210000
93,F,No,52,Others,52,Others,Science,55,Sci&Tech,67,Mkt&HR,59.32,Not Placed,
94,M,Yes,44,Central,58,Central,Arts,55,Comm&Mgmt,64.25,Mkt&HR,58.54,Not Placed,
95,F,No,88,Central,72,Central,Science,78,Others,82,Mkt&HR,71.43,Placed,252000
96,F,No,75.4,Others,60.5,Central,Science,84,Sci&Tech,98,Mkt&Fin,65.25,Placed,240000
97,M,No,54,Others,47,Others,Science,57,Comm&Mgmt,89.69,Mkt&HR,57.1,Not Placed,
98,F,No,56.28,Others,62.83,Others,Commerce,59.79,Comm&Mgmt,60,Mkt&HR,57.29,Not Placed,
99,M,No,68,Others,56,Others,Science,68,Sci&Tech,73,Mkt&HR,68.07,Placed,350000
100,F,Yes,45,Others,57,Others,Commerce,58,Comm&Mgmt,56.39,Mkt&HR,64.95,Not Placed,
101,F,No,47,Central,59,Central,Arts,64,Comm&Mgmt,78,Mkt&Fin,61.58,Not Placed,
102,M,No,67,Others,91,Others,Commerce,58,Sci&Tech,55,Mkt&HR,58.8,Placed,270000
103,M,Yes,66,Central,76,Central,Commerce,72,Comm&Mgmt,84,Mkt&HR,58.95,Placed,275000
104,M,No,62,Central,67,Central,Commerce,58,Comm&Mgmt,77,Mkt&Fin,51.29,Not Placed,
105,F,Yes,77.4,Others,60,Others,Science,64.74,Sci&Tech,92,Mkt&Fin,63.62,Placed,300000
106,M,No,52,Central,57,Central,Commerce,50.8,Comm&Mgmt,67,Mkt&HR,62.79,Not Placed,
107,M,No,65,Central,68,Central,Arts,64,Comm&Mgmt,75,Mkt&Fin,57.8,Placed,250000
108,M,No,62,Central,58,Others,Science,53,Comm&Mgmt,89,Mkt&HR,60.22,Not Placed,
109,M,No,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,57.6,Mkt&Fin,56.66,Placed,265000
110,M,No,52,Central,62,Central,Commerce,54,Comm&Mgmt,72,Mkt&HR,55.41,Not Placed,
111,M,No,80.92,Others,78.5,Others,Commerce,67,Comm&Mgmt,68.71,Mkt&Fin,60.99,Placed,275000
112,M,Yes,67,Others,68,Others,Commerce,64,Comm&Mgmt,74.4,Mkt&HR,53.49,Placed,300000
113,M,Yes,67,Central,71,Central,Science,64.33,Others,64,Mkt&HR,61.26,Placed,250000
114,M,No,67,Others,61,Central,Science,72,Comm&Mgmt,72,Mkt&Fin,61.01,Placed,264000
115,M,No,82,Others,90,Others,Commerce,83,Comm&Mgmt,80,Mkt&HR,73.52,Placed,200000
116,M,No,62,Others,65,Others,Commerce,66,Comm&Mgmt,50,Mkt&HR,56.7,Placed,265000
117,F,Yes,64,Central,67,Others,Science,69.6,Sci&Tech,55.67,Mkt&HR,71.49,Placed,250000
118,F,No,60.23,Central,69,Central,Science,66,Comm&Mgmt,72,Mkt&Fin,59.47,Placed,230000
119,M,Yes,71,Others,79,Others,Commerce,66,Comm&Mgmt,94,Mkt&Fin,57.55,Placed,240000
120,F,No,64,Central,73.5,Central,Commerce,73,Comm&Mgmt,52,Mkt&HR,56.7,Placed,250000
121,M,Yes,65.2,Central,61.4,Central,Commerce,64.8,Comm&Mgmt,93.4,Mkt&Fin,57.34,Placed,270000
122,F,No,69.5,Central,70,Central,Science,72,Sci&Tech,57.2,Mkt&HR,54.8,Placed,250000
123,M,Yes,81.7,Others,63,Others,Science,67,Comm&Mgmt,86,Mkt&Fin,70.2,Placed,300000
124,M,No,63,Others,62,Others,Science,65,Sci&Tech,87.5,Mkt&HR,60.69,Not Placed,
125,M,Yes,74,Central,70,Central,Science,72,Comm&Mgmt,60,Mkt&Fin,57.24,Placed,260000
126,F,No,67,Central,70,Central,Commerce,65,Others,88,Mkt&HR,71.96,Not Placed,
127,F,No,69,Central,62,Central,Science,66,Sci&Tech,75,Mkt&HR,67.99,Not Placed,
128,M,No,77.67,Others,64.89,Others,Commerce,70.67,Comm&Mgmt,89,Mkt&Fin,60.39,Placed,300000
129,M,No,82,Others,61,Others,Science,62,Sci&Tech,89,Mkt&Fin,65.45,Placed,360000
130,M,No,83,Others,74,Others,Science,66,Comm&Mgmt,68.92,Mkt&HR,58.46,Placed,275000
131,M,Yes,73.24,Others,50.83,Others,Science,64.27,Sci&Tech,64,Mkt&Fin,66.23,Placed,500000
132,M,Yes,84,Others,79,Others,Science,68,Sci&Tech,84,Mkt&Fin,66.69,Placed,300000
133,M,Yes,74,Others,59,Others,Commerce,73,Comm&Mgmt,60,Mkt&HR,56.7,Placed,240000
134,M,Yes,79.33,Central,78.33,Others,Science,77.48,Sci&Tech,86.5,Mkt&Fin,66.28,Placed,200000
135,M,Yes,76.7,Central,89.7,Others,Commerce,66,Comm&Mgmt,90,Mkt&Fin,68.55,Placed,250000
136,F,No,73,Others,63,Others,Science,66,Comm&Mgmt,89,Mkt&Fin,60.5,Placed,216000
137,M,Yes,80,Others,80,Others,Commerce,72,Comm&Mgmt,63.79,Mkt&Fin,66.04,Placed,290000
138,F,Yes,77,Others,73,Others,Commerce,81,Comm&Mgmt,89,Mkt&Fin,69.7,Placed,200000
139,F,Yes,76,Central,70,Central,Science,76,Comm&Mgmt,66,Mkt&Fin,64.44,Placed,300000
140,F,Yes,79,Others,61,Others,Science,75.5,Sci&Tech,70,Mkt&Fin,68.2,Placed,210000
141,M,No,52,Central,49,Others,Commerce,58,Comm&Mgmt,62,Mkt&HR,60.59,Not Placed,
142,M,No,84,Others,90.9,Others,Science,64.5,Sci&Tech,86.04,Mkt&Fin,59.42,Placed,270000
143,M,Yes,87,Central,74,Central,Science,65,Sci&Tech,75,Mkt&HR,72.29,Placed,300000
144,M,Yes,70,Central,63,Others,Science,70,Sci&Tech,55,Mkt&Fin,62,Placed,300000
145,M,Yes,72,Others,63,Others,Science,77.5,Sci&Tech,78,Mkt&Fin,54.48,Placed,250000
146,F,No,64,Others,70.2,Central,Commerce,61,Comm&Mgmt,50,Mkt&Fin,62.5,Not Placed,
147,F,Yes,65,Central,75,Central,Commerce,69,Comm&Mgmt,72,Mkt&Fin,64.66,Placed,200000
148,M,No,63,Others,62,Others,Commerce,68,Comm&Mgmt,64,Mkt&Fin,62.46,Placed,250000
149,M,No,84.2,Central,73.4,Central,Commerce,66.89,Comm&Mgmt,61.6,Mkt&Fin,62.48,Placed,300000
150,F,No,74,Others,66,Others,Commerce,58,Comm&Mgmt,70,Mkt&HR,60.23,Placed,204000
151,M,No,66.5,Central,62.5,Central,Commerce,60.9,Comm&Mgmt,93.4,Mkt&Fin,55.03,Placed,300000
152,F,No,74,Central,60,Others,Science,69,Comm&Mgmt,78,Mkt&HR,65.56,Placed,216000
153,M,No,84.86,Others,67,Others,Science,78,Comm&Mgmt,95.5,Mkt&Fin,68.53,Placed,240000
154,M,No,69,Others,60,Others,Commerce,65,Comm&Mgmt,87.55,Mkt&Fin,52.81,Placed,300000
155,M,No,54,Central,82,Others,Commerce,63,Sci&Tech,50,Mkt&Fin,59.47,Not Placed,
156,M,No,65,Central,68,Others,Science,69,Comm&Mgmt,53.7,Mkt&HR,55.01,Placed,250000
157,M,No,63,Central,72,Central,Commerce,68,Comm&Mgmt,78,Mkt&HR,60.44,Placed,380000
158,M,No,64.6,Central,83.83,Others,Commerce,71.72,Comm&Mgmt,86,Mkt&Fin,59.75,Placed,218000
159,M,No,62,Central,63,Others,Science,66,Comm&Mgmt,85,Mkt&HR,55.14,Placed,233000
160,M,No,66,Central,64,Central,Science,60,Comm&Mgmt,60,Mkt&HR,61.9,Not Placed,
161,M,No,80.6,Others,82,Others,Commerce,77.6,Comm&Mgmt,91,Mkt&Fin,74.49,Placed,400000
162,M,No,65,Central,77,Central,Commerce,69,Comm&Mgmt,60,Mkt&HR,61.82,Placed,276000
163,M,No,59.96,Others,42.16,Others,Science,61.26,Sci&Tech,54.48,Mkt&HR,65.48,Not Placed,
164,M,Yes,65,Central,71.5,Others,Commerce,62.8,Comm&Mgmt,57,Mkt&Fin,56.6,Placed,265000
165,M,Yes,71,Central,58.66,Central,Science,58,Sci&Tech,56,Mkt&Fin,61.3,Placed,690000
166,F,No,79,Others,76,Others,Commerce,85,Comm&Mgmt,95,Mkt&Fin,69.06,Placed,393000
167,F,No,47,Central,55,Others,Science,65,Comm&Mgmt,62,Mkt&HR,65.04,Not Placed,
168,F,No,86.5,Others,64.2,Others,Science,67.4,Sci&Tech,59,Mkt&Fin,59.69,Placed,240000
169,M,No,68,Central,76,Central,Commerce,74,Comm&Mgmt,80,Mkt&Fin,63.59,Placed,360000
170,M,Yes,73,Central,78,Others,Commerce,65,Comm&Mgmt,95.46,Mkt&Fin,62.16,Placed,420000
171,M,Yes,69,Central,63,Others,Science,65,Comm&Mgmt,55,Mkt&HR,58.23,Placed,360000
172,F,No,52,Central,64,Central,Commerce,61,Comm&Mgmt,55,Mkt&Fin,62.93,Not Placed,
173,M,No,58,Others,40,Others,Science,59,Comm&Mgmt,73,Mkt&HR,58.81,Not Placed,
174,F,No,46,Others,49.2,Others,Commerce,79,Comm&Mgmt,74.28,Mkt&Fin,53.29,Not Placed,
175,M,No,61.08,Others,50,Others,Science,54,Sci&Tech,71,Mkt&Fin,65.69,Not Placed,
176,M,Yes,68.2,Central,72.8,Central,Commerce,66.6,Comm&Mgmt,96,Mkt&Fin,70.85,Placed,300000
177,M,No,58,Others,60,Others,Science,72,Sci&Tech,74,Mkt&Fin,53.62,Placed,275000
178,M,No,62,Central,60.33,Others,Science,64.21,Sci&Tech,63,Mkt&HR,60.02,Not Placed,
179,M,Yes,49,Others,59,Others,Science,65,Sci&Tech,86,Mkt&Fin,62.48,Placed,340000
180,M,No,51,Central,44,Central,Commerce,57,Comm&Mgmt,64,Mkt&Fin,51.45,Not Placed,
181,M,No,59.6,Central,51,Central,Science,60,Others,75,Mkt&HR,59.08,Not Placed,
182,M,No,58,Others,61,Others,Commerce,61,Comm&Mgmt,58,Mkt&HR,53.94,Placed,250000
183,M,No,49,Others,39,Central,Science,65,Others,63,Mkt&Fin,51.21,Not Placed,
184,F,Yes,69,Others,62,Others,Commerce,69,Comm&Mgmt,67,Mkt&HR,62.35,Placed,240000
185,M,Yes,65,Central,64.8,Others,Commerce,69.5,Comm&Mgmt,56,Mkt&Fin,56.94,Placed,265000
186,M,Yes,84.2,Central,69.4,Central,Science,65,Sci&Tech,80,Mkt&HR,52.72,Placed,255000
187,M,No,89.4,Others,65.66,Others,Science,71.25,Sci&Tech,72,Mkt&HR,63.23,Placed,400000
188,M,No,65,Central,65,Central,Commerce,75,Comm&Mgmt,83,Mkt&Fin,58.87,Placed,270000
189,F,No,59,Central,62,Others,Commerce,77.5,Comm&Mgmt,74,Mkt&HR,67,Not Placed,
190,F,No,67.16,Central,72.5,Central,Commerce,63.35,Comm&Mgmt,53.04,Mkt&Fin,65.52,Placed,250000
191,M,No,54.2,Central,63,Others,Science,58,Comm&Mgmt,79,Mkt&HR,58.44,Not Placed,
192,M,No,58,Central,70,Central,Commerce,61,Comm&Mgmt,54,Mkt&Fin,52.21,Not Placed,
193,M,Yes,74.2,Central,87.6,Others,Commerce,77.25,Comm&Mgmt,75.2,Mkt&Fin,66.06,Placed,285000
194,M,No,55.68,Others,61.33,Others,Commerce,56.87,Comm&Mgmt,66,Mkt&HR,58.3,Placed,260000
195,M,No,56,Central,52,Central,Science,52,Sci&Tech,66,Mkt&HR,59.43,Not Placed,
196,F,Yes,82,Others,64,Others,Science,73,Sci&Tech,96,Mkt&Fin,71.77,Placed,250000
197,F,No,85,Others,90,Others,Commerce,82,Comm&Mgmt,92,Mkt&Fin,68.03,Placed,300000
198,M,No,75,Others,70.29,Others,Commerce,71,Comm&Mgmt,95,Mkt&Fin,66.94,Placed,240000
199,F,No,63.3,Central,78.33,Others,Commerce,74,Comm&Mgmt,80,Mkt&Fin,74.56,Not Placed,
200,M,No,67,Others,63,Central,Commerce,72,Comm&Mgmt,56,Mkt&HR,60.41,Placed,225000
201,F,No,59,Central,60,Others,Commerce,56,Comm&Mgmt,55,Mkt&HR,57.9,Placed,220000
202,F,No,69,Central,73,Central,Commerce,65,Comm&Mgmt,70,Mkt&Fin,57.31,Placed,220000
203,M,Yes,55,Others,49.8,Others,Science,67.25,Sci&Tech,55,Mkt&Fin,51.58,Not Placed,
204,F,No,79,Central,76,Central,Science,65.6,Sci&Tech,58,Mkt&HR,55.47,Placed,320000
205,M,No,41,Central,42,Central,Science,60,Comm&Mgmt,97,Mkt&Fin,53.39,Not Placed,
206,M,Yes,69.6,Central,68.4,Central,Commerce,78.3,Comm&Mgmt,60,Mkt&Fin,63.7,Placed,250000
207,M,No,61,Others,70,Others,Commerce,64,Comm&Mgmt,68.5,Mkt&HR,59.5,Not Placed,
208,M,No,52,Others,50,Others,Arts,61,Comm&Mgmt,60,Mkt&Fin,58.52,Not Placed,
209,M,No,52,Others,55,Others,Commerce,56.3,Comm&Mgmt,59,Mkt&Fin,64.74,Not Placed,
210,M,Yes,64,Others,80,Others,Science,65,Sci&Tech,69,Mkt&Fin,57.65,Placed,500000
211,F,No,69,Central,78,Central,Commerce,72,Comm&Mgmt,71,Mkt&HR,62.74,Placed,300000
212,M,No,63,Others,67,Others,Science,64,Sci&Tech,75,Mkt&Fin,66.46,Placed,500000
213,F,No,67,Central,53,Central,Science,65,Sci&Tech,64,Mkt&HR,58.32,Not Placed,
214,F,Yes,73,Central,97,Others,Commerce,79,Comm&Mgmt,89,Mkt&Fin,70.81,Placed,650000
215,F,Yes,74,Others,63.16,Others,Commerce,65,Comm&Mgmt,65,Mkt&HR,69.76,Not Placed,
